0xe790 0xe7bf 0x2f
0xe7c0 0xe7ef 0x2f
0xe7f0 0xe81f 0x2f
0xe820 0xe84f 0x2f
0xe850 0xe87f 0x2f
0xe880 0xe8af 0x2f
0xe8b0 0xe8df 0x2f
0xe8e0 0xe90f 0x2f
0xe910 0xe93f 0x2f
0xe940 0xe96f 0x2f
0xe970 0xe99f 0x2f
0xe9a0 0xe9cf 0x2f
0xe9d0 0xe9f0 0x20
0xe9f0 0xead2 0xe2
0xeae0 0xeb00 0x20
0xeb40 0xeb6f 0x2f
0xeb90 0xebb0 0x20
0xebd0 0xebff 0x2f
0xec00 0xec2b 0x2b
0xec30 0xec5f 0x2f
0xec60 0xec8f 0x2f
0xec90 0xecbf 0x2f
0xecc0 0xecef 0x2f
0xecf0 0xed1f 0x2f
0xed80 0xedaf 0x2f
0xedf0 0xee1f 0x2f
0xee20 0xee4b 0x2b
0xee50 0xee7f 0x2f
0xee80 0xeeaf 0x2f
0xeeb0 0xeedf 0x2f
0xeee0 0xef0f 0x2f
0xef10 0xef3f 0x2f
0xef80 0xefaf 0x2f
0xeff0 0xf01f 0x2f
0xf020 0xf04b 0x2b
0xf050 0xf07f 0x2f
0xf080 0xf0af 0x2f
0xf0b0 0xf0df 0x2f
0xf0e0 0xf10f 0x2f
0xf110 0xf13f 0x2f
0xf1a0 0xf1cf 0x2f
0xf210 0xf23f 0x2f
0xf240 0xf26b 0x2b
0xf270 0xf29f 0x2f
0xf2a0 0xf2cf 0x2f
0xf2d0 0xf2ff 0x2f
0xf300 0xf32f 0x2f
0xf330 0xf35f 0x2f
0xf360 0xf38f 0x2f
0xf3d0 0xf3ff 0x2f
0xf400 0xf42b 0x2b
0xf430 0xf45f 0x2f
0xf460 0xf48f 0x2f
0xf490 0xf4bf 0x2f
0xf4c0 0xf4ef 0x2f
0xf4f0 0xf51f 0x2f
0xf520 0xf54f 0x2f
0xf590 0xf5bf 0x2f
0xf5c0 0xf61a 0x5a
0xf620 0xf64b 0x2b
0xf650 0xf6e2 0x92
0xf6f0 0xf778 0x88
0xf780 0xf812 0x92
0xf820 0xf8a8 0x88
0xf8b0 0xf938 0x88
0xf940 0xf9c8 0x88
0xf9d0 0xfa62 0x92
0xfa70 0xfa9e 0x2e
0xfaa0 0xface 0x2e
0xfad0 0xfafe 0x2e
0xfb00 0xfb2e 0x2e
0xfb30 0xfb5e 0x2e
0xfb60 0xfb8f 0x2f
0xfb90 0xfbbf 0x2f
0xfbc0 0xfbef 0x2f
0xfbf0 0xfc1f 0x2f
0xfc20 0xfc4f 0x2f
0xfc50 0xfc7f 0x2f
0xfc80 0xfcaf 0x2f
0xfcb0 0xfcdf 0x2f
0xfce0 0xfd0f 0x2f
0xfd10 0xfd3f 0x2f
0xfd40 0xfd6f 0x2f
0xfd70 0xfd9f 0x2f
0xfda0 0xfdcf 0x2f
0xfdd0 0xfdff 0x2f
0xfe00 0xfe2f 0x2f
0xfe30 0xfe5f 0x2f
0xfe60 0xfe8f 0x2f
0xfea0 0xff9c 0xfc
0xffa0 0x1009c 0xfc
0x100a0 0x1019c 0xfc
0x101a0 0x1029c 0xfc
0x10aa0 0x10acf 0x2f
0x10b10 0x10b3f 0x2f
0x10b40 0x10b77 0x37
0x10b80 0x10bab 0x2b
0x10bb0 0x10c42 0x92
0x10c50 0x10ce2 0x92
0x10cf0 0x10d82 0x92
0x10d90 0x10dbf 0x2f
